Date,Price,Open,High,Low,Vol.,Change %
30/01/2023,7.8313,7.8285,7.8317,7.8285,3.16K,0.03%
29/01/2023,7.8286,7.8289,7.8296,7.8282,0.65K,-0.01%
27/01/2023,7.8292,7.8284,7.832,7.8274,19.54K,0.02%
26/01/2023,7.828,7.8306,7.8329,7.827,19.63K,-0.03%
25/01/2023,7.8306,7.8305,7.8341,7.8288,16.49K,0.01%
24/01/2023,7.8297,7.8314,7.8326,7.8273,13.47K,-0.02%
23/01/2023,7.8309,7.8277,7.8316,7.8252,24.40K,0.03%
20/01/2023,7.8289,7.8303,7.8345,7.825,23.24K,-0.01%
19/01/2023,7.8299,7.8247,7.834,7.8225,29.42K,0.07%
18/01/2023,7.8246,7.8165,7.8286,7.8162,26.35K,0.11%
17/01/2023,7.8161,7.8108,7.8229,7.8102,23.41K,0.07%
16/01/2023,7.8106,7.8094,7.8123,7.806,18.48K,0.02%
13/01/2023,7.8092,7.8088,7.8129,7.8078,21.70K,0.01%
12/1/2023,7.8086,7.8133,7.8145,7.8071,20.68K,-0.06%
11/1/2023,7.8131,7.809,7.8146,7.8078,22.11K,0.06%
10/1/2023,7.8083,7.8039,7.8101,7.8036,19.81K,0.06%
9/1/2023,7.8034,7.8064,7.8089,7.8029,20.35K,-0.04%
6/1/2023,7.8062,7.8142,7.8156,7.8047,24.67K,-0.10%
5/1/2023,7.8139,7.8171,7.8212,7.8078,21.29K,-0.03%
4/1/2023,7.816,7.8134,7.8206,7.8113,20.05K,0.04%
3/1/2023,7.8131,7.8064,7.8166,7.8039,21.31K,0.13%
2/1/2023,7.8032,7.8096,7.8102,7.8017,11.25K,-0.08%
30/12/2022,7.8095,7.7962,7.81,7.7919,18.82K,0.17%
29/12/2022,7.7961,7.7951,7.7982,7.791,18.73K,0.02%
28/12/2022,7.7949,7.8007,7.8019,7.7864,20.33K,-0.07%
27/12/2022,7.8004,7.8068,7.8071,7.7983,10.85K,-0.07%
26/12/2022,7.806,7.8042,7.8078,7.8034,3.66K,0.02%
23/12/2022,7.8041,7.7951,7.8068,7.794,20.85K,0.12%
22/12/2022,7.7948,7.797,7.7997,7.7877,20.03K,-0.03%
21/12/2022,7.7969,7.7875,7.7984,7.787,19.26K,0.12%
20/12/2022,7.7873,7.7811,7.7888,7.779,20.57K,0.08%
19/12/2022,7.7813,7.7836,7.7883,7.7759,18.09K,-0.03%
16/12/2022,7.7835,7.7769,7.7863,7.775,23.91K,0.09%
15/12/2022,7.7767,7.773,7.7801,7.7709,21.72K,0.05%
14/12/2022,7.7728,7.7741,7.781,7.7703,22.11K,-0.01%
13/12/2022,7.7737,7.7764,7.7815,7.7717,26.76K,-0.03%
12/12/2022,7.7763,7.7867,7.7886,7.7677,23.50K,-0.12%
9/12/2022,7.7854,7.786,7.7912,7.7807,28.45K,-0.01%
8/12/2022,7.7859,7.7916,7.794,7.782,29.66K,-0.07%
7/12/2022,7.7915,7.7764,7.7954,7.7719,30.91K,0.20%
6/12/2022,7.7759,7.7674,7.7831,7.7655,22.16K,0.11%
5/12/2022,7.7672,7.7889,7.7889,7.7614,20.96K,-0.28%
2/12/2022,7.7888,7.7797,7.7901,7.7773,19.93K,0.12%
1/12/2022,7.7795,7.8098,7.8098,7.7778,25.58K,-0.39%
30/11/2022,7.8097,7.8106,7.8131,7.7976,22.77K,-0.01%
29/11/2022,7.8103,7.814,7.8157,7.8082,15.73K,-0.04%
28/11/2022,7.8138,7.8131,7.8219,7.8099,18.16K,0.01%
25/11/2022,7.813,7.8081,7.8182,7.807,14.17K,0.06%
24/11/2022,7.808,7.8184,7.8191,7.8047,21.11K,-0.13%
23/11/2022,7.8183,7.817,7.8215,7.8155,16.51K,0.01%
22/11/2022,7.8172,7.8032,7.8177,7.8014,18.71K,0.18%
21/11/2022,7.8031,7.8212,7.8239,7.8004,21.80K,-0.23%
18/11/2022,7.8214,7.8261,7.8284,7.82,17.58K,-0.06%
17/11/2022,7.8259,7.8242,7.8299,7.8221,22.87K,0.03%
16/11/2022,7.8237,7.8193,7.8273,7.8176,25.11K,0.06%
15/11/2022,7.8192,7.8361,7.8371,7.8186,30.66K,-0.21%
14/11/2022,7.8359,7.8382,7.8419,7.8344,23.17K,0.00%
11/11/2022,7.8359,7.8446,7.8459,7.8341,30.15K,-0.11%
10/11/2022,7.8445,7.8495,7.85,7.844,19.93K,-0.06%
9/11/2022,7.8492,7.8499,7.85,7.8489,14.05K,-0.01%
8/11/2022,7.8497,7.8498,7.8502,7.8495,9.62K,0.00%
7/11/2022,7.8497,7.8496,7.8501,7.8492,8.75K,0.01%
4/11/2022,7.8493,7.8499,7.8502,7.8493,8.56K,-0.01%
3/11/2022,7.8498,7.8495,7.8501,7.8489,10.01K,0.01%
2/11/2022,7.8494,7.8496,7.8502,7.8492,9.70K,0.00%
1/11/2022,7.8495,7.8492,7.8501,7.8487,10.68K,0.01%
31/10/2022,7.8491,7.8492,7.85,7.8486,11.43K,0.00%
28/10/2022,7.8491,7.8496,7.85,7.847,11.76K,0.00%
27/10/2022,7.8493,7.8499,7.8499,7.8473,14.12K,0.00%
26/10/2022,7.8494,7.85,7.8502,7.8489,9.85K,-0.01%
25/10/2022,7.8498,7.8499,7.8502,7.8494,9.44K,0.00%
24/10/2022,7.8498,7.8495,7.8501,7.8484,11.03K,0.01%
21/10/2022,7.8493,7.8491,7.85,7.8485,12.16K,0.00%
20/10/2022,7.8491,7.8499,7.85,7.8478,16.52K,-0.01%
19/10/2022,7.8498,7.8496,7.8502,7.8494,9.07K,0.00%
18/10/2022,7.8496,7.8499,7.8501,7.8486,14.50K,0.00%
17/10/2022,7.8499,7.8498,7.8502,7.8484,11.04K,0.00%
14/10/2022,7.8497,7.8498,7.8502,7.8495,9.57K,0.00%
13/10/2022,7.8494,7.85,7.8501,7.8477,14.19K,-0.01%
12/10/2022,7.8499,7.8499,7.8502,7.8496,9.30K,0.00%
11/10/2022,7.8499,7.8499,7.8502,7.8495,8.56K,0.00%
10/10/2022,7.8497,7.8498,7.8502,7.8493,9.42K,0.00%
7/10/2022,7.8494,7.8499,7.8502,7.8496,8.51K,-0.01%
6/10/2022,7.8498,7.8499,7.8501,7.8493,9.47K,0.00%
5/10/2022,7.8498,7.8494,7.85,7.8491,9.77K,0.01%
4/10/2022,7.8492,7.8499,7.8502,7.8492,9.00K,-0.01%
3/10/2022,7.8499,7.8495,7.8502,7.8494,10.17K,0.00%
30/09/2022,7.8498,7.8499,7.8502,7.8495,11.92K,0.00%
29/09/2022,7.8498,7.8489,7.8502,7.8488,11.94K,0.01%
28/09/2022,7.849,7.8499,7.8502,7.8489,14.93K,-0.01%
27/09/2022,7.8499,7.8498,7.8502,7.8492,13.23K,0.00%
26/09/2022,7.8497,7.8495,7.8502,7.8492,11.72K,0.01%
23/09/2022,7.8493,7.8495,7.8502,7.8485,13.65K,0.00%
22/09/2022,7.8494,7.8499,7.8502,7.8484,14.46K,-0.01%
21/09/2022,7.8499,7.8493,7.8502,7.8492,13.18K,0.01%
20/09/2022,7.8491,7.8492,7.8499,7.8485,16.81K,0.00%
19/09/2022,7.849,7.8494,7.85,7.8485,14.53K,0.00%
16/09/2022,7.8491,7.849,7.8501,7.8479,13.40K,0.00%
15/09/2022,7.849,7.8488,7.8496,7.8463,17.49K,0.00%
14/09/2022,7.8488,7.8498,7.85,7.848,14.40K,-0.01%
13/09/2022,7.8494,7.8491,7.85,7.8477,14.00K,0.01%
12/9/2022,7.8487,7.8491,7.8496,7.8484,13.34K,0.01%
9/9/2022,7.8483,7.8495,7.8498,7.8481,16.29K,-0.01%
8/9/2022,7.8492,7.8498,7.8502,7.8489,14.21K,-0.01%
7/9/2022,7.8497,7.8496,7.8501,7.8492,10.18K,0.00%
6/9/2022,7.8495,7.8491,7.85,7.8485,12.03K,0.01%
5/9/2022,7.8489,7.8488,7.8498,7.8484,14.34K,-0.01%
2/9/2022,7.8495,7.8481,7.8498,7.8479,15.99K,0.02%
1/9/2022,7.848,7.8491,7.8494,7.8471,19.24K,-0.01%
31/08/2022,7.849,7.8487,7.8495,7.8471,17.59K,0.01%
30/08/2022,7.8485,7.8471,7.8493,7.8461,16.71K,0.02%
29/08/2022,7.8472,7.8463,7.8488,7.8462,15.79K,0.01%
26/08/2022,7.8466,7.8465,7.8478,7.8446,16.80K,0.00%
25/08/2022,7.8465,7.8468,7.8471,7.8439,18.78K,0.00%
24/08/2022,7.8467,7.8475,7.8479,7.8412,17.33K,0.00%
23/08/2022,7.8467,7.8465,7.8482,7.8459,16.15K,0.01%
22/08/2022,7.8463,7.8457,7.8473,7.8448,17.58K,0.01%
19/08/2022,7.8452,7.8443,7.847,7.8434,16.73K,0.01%
18/08/2022,7.8444,7.8434,7.8456,7.8414,21.52K,0.02%
17/08/2022,7.8431,7.8414,7.8439,7.8355,21.21K,0.02%
16/08/2022,7.8413,7.8376,7.8436,7.8352,27.53K,0.05%
15/08/2022,7.8375,7.8384,7.8397,7.832,18.79K,0.02%
12/8/2022,7.8357,7.8443,7.8445,7.8277,32.06K,-0.11%
11/8/2022,7.8445,7.8467,7.8478,7.8428,26.13K,-0.02%
10/8/2022,7.8463,7.8499,7.8502,7.8456,30.89K,-0.05%
9/8/2022,7.8499,7.8499,7.8502,7.8492,12.16K,0.00%
8/8/2022,7.8499,7.8496,7.8503,7.8492,10.86K,0.00%
5/8/2022,7.8497,7.8496,7.8502,7.8495,12.18K,0.00%
4/8/2022,7.8497,7.8499,7.8501,7.8489,13.31K,0.00%
3/8/2022,7.8498,7.8499,7.8502,7.8495,11.34K,0.00%
2/8/2022,7.8498,7.8499,7.8502,7.8493,11.86K,0.00%
1/8/2022,7.8499,7.8499,7.8502,7.8491,10.94K,0.00%
29/07/2022,7.8497,7.8499,7.8502,7.8495,11.13K,0.00%
28/07/2022,7.8496,7.8495,7.85,7.8488,12.89K,0.01%
27/07/2022,7.8492,7.8493,7.8501,7.8484,14.66K,0.00%
26/07/2022,7.8492,7.8492,7.85,7.8484,13.70K,0.00%
25/07/2022,7.8491,7.8485,7.8497,7.848,12.17K,0.01%
22/07/2022,7.8484,7.8491,7.85,7.8475,13.93K,0.00%
21/07/2022,7.8487,7.8499,7.8499,7.8478,14.51K,-0.01%
20/07/2022,7.8498,7.85,7.8502,7.8496,11.02K,0.00%
19/07/2022,7.8499,7.8498,7.8502,7.8495,9.13K,0.00%
18/07/2022,7.8499,7.85,7.8502,7.8493,10.41K,0.00%
15/07/2022,7.8498,7.8498,7.8505,7.8496,9.78K,0.00%
14/07/2022,7.8497,7.8499,7.8502,7.8491,11.47K,0.00%
13/07/2022,7.8499,7.8499,7.8502,7.8492,11.49K,0.00%
12/7/2022,7.8499,7.8498,7.8501,7.8495,12.73K,0.00%
11/7/2022,7.8497,7.8486,7.8501,7.8485,11.46K,0.01%
8/7/2022,7.8487,7.8478,7.8496,7.8471,14.43K,0.02%
7/7/2022,7.8475,7.8472,7.8488,7.8467,14.58K,0.01%
6/7/2022,7.847,7.8467,7.8479,7.8464,14.12K,0.01%
5/7/2022,7.8466,7.8458,7.848,7.8453,14.55K,0.02%
4/7/2022,7.8454,7.8467,7.8479,7.8451,15.69K,-0.01%
1/7/2022,7.8465,7.8463,7.8484,7.846,13.04K,0.00%
30/06/2022,7.8462,7.8467,7.8485,7.8449,18.12K,0.00%
29/06/2022,7.8462,7.8475,7.8482,7.845,16.15K,-0.02%
28/06/2022,7.8474,7.847,7.8492,7.8456,16.96K,0.01%
27/06/2022,7.8469,7.8495,7.8496,7.8449,13.10K,-0.03%
24/06/2022,7.8489,7.8498,7.85,7.8485,10.03K,-0.01%
23/06/2022,7.8497,7.8499,7.8501,7.8483,11.18K,0.00%
22/06/2022,7.8499,7.85,7.8502,7.8496,6.99K,0.00%
21/06/2022,7.8499,7.8499,7.8502,7.8498,7.97K,0.00%
20/06/2022,7.8498,7.8498,7.8502,7.8495,7.46K,0.01%
17/06/2022,7.8494,7.8495,7.8502,7.8493,7.85K,0.00%
16/06/2022,7.8494,7.8499,7.8502,7.8482,10.57K,-0.01%
15/06/2022,7.8499,7.8501,7.8503,7.8495,8.31K,0.00%
14/06/2022,7.8499,7.8499,7.8503,7.8497,8.21K,0.00%
13/06/2022,7.8498,7.8495,7.8502,7.8491,8.65K,0.01%
10/6/2022,7.849,7.849,7.8502,7.8486,9.78K,0.00%
9/6/2022,7.8488,7.8484,7.8495,7.847,13.40K,0.01%
8/6/2022,7.8482,7.8465,7.8485,7.8453,16.88K,0.03%
7/6/2022,7.8462,7.845,7.8471,7.8445,15.55K,0.02%
6/6/2022,7.8446,7.8453,7.8468,7.8439,13.26K,0.00%
3/6/2022,7.8449,7.8447,7.8464,7.8438,12.37K,0.00%
2/6/2022,7.8447,7.8478,7.8481,7.8447,12.21K,-0.04%
1/6/2022,7.8477,7.847,7.8479,7.8438,13.90K,0.01%
31/05/2022,7.8469,7.8486,7.8493,7.845,11.99K,-0.02%
